user,imdb_title,imdb_year,imdb_rating,netflix_movie_id,netflix_title,netflix_year,match_method,match_score,expected_netflix_rating,rating_low,rating_high,preference
planktonrules,The Shawshank Redemption,1994,10.0,,,,unmatched,0.7142857142857143,5.0,5,5,liked
planktonrules,The Dark Knight,2008,9.0,,,,unmatched,0.0,4.5,4,5,liked
planktonrules,Inception,2010,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Fight Club,1999,6.0,5926,Fight Club,1999.0,exact_title_year,1.0,3.0,3,3,neutral
planktonrules,Interstellar,2014,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Forrest Gump,1994,8.0,11283,Forrest Gump,1994.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Pulp Fiction,1994,10.0,11064,Pulp Fiction,1994.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,The Matrix,1999,7.0,14691,The Matrix,1999.0,exact_title_year,1.0,3.5,3,4,neutral
planktonrules,The Godfather,1972,10.0,12293,The Godfather,1972.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,The Lord of the Rings: The Fellowship of the Ring,2001,10.0,2452,Lord of the Rings: The Fellowship of the Ring,2001.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,The Lord of the Rings: The Return of the King,2003,10.0,14240,Lord of the Rings: The Return of the King,2003.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,Seven,1995,9.0,8596,Seven,1995.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,The Dark Knight Rises,2012,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,The Lord of the Rings: The Two Towers,2002,10.0,11521,Lord of the Rings: The Two Towers,2002.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,Django Unchained,2012,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Gladiator,2000,8.0,13728,Gladiator,2000.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,The Wolf of Wall Street,2013,5.0,,,,unmatched,0.0,2.5,2,3,neutral
planktonrules,Inglourious Basterds,2009,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,The Silence of the Lambs,1991,7.0,2862,The Silence of the Lambs,1991.0,exact_title_year,1.0,3.5,3,4,neutral
planktonrules,Batman Begins,2005,7.0,3864,Batman Begins,2005.0,exact_title_year,1.0,3.5,3,4,neutral
planktonrules,Stranger Things,2016,10.0,,,,unmatched,0.0,5.0,5,5,liked
planktonrules,Shutter Island,2010,9.0,,,,unmatched,0.0,4.5,4,5,liked
planktonrules,The Prestige,2006,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,Schindler's List,1993,10.0,12870,Schindler's List,1993.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,Star Wars: Episode IV - A New Hope,1977,10.0,16265,Star Wars: Episode IV: A New Hope,1977.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,The Avengers,2012,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,The Departed,2006,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,Star Wars: Episode V - The Empire Strikes Back,1980,8.0,5582,Star Wars: Episode V: The Empire Strikes Back,1980.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Avatar,2009,9.0,,,,unmatched,0.0,4.5,4,5,liked
planktonrules,The Godfather Part II,1974,10.0,,,,unmatched,0.6923076923076923,5.0,5,5,liked
planktonrules,Back to the Future,1985,8.0,10820,Back to the Future,1985.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Memento,2000,8.0,5862,Memento,2000.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Titanic,1997,9.0,16879,Titanic,1997.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,GoodFellas,1990,4.0,,,,unmatched,0.5555555555555556,2.0,2,2,disliked
planktonrules,The Truman Show,1998,9.0,14618,The Truman Show,1998.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,Guardians of the Galaxy,2014,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Léon: The Professional,1994,7.0,,,,unmatched,0.7272727272727273,3.5,3,4,neutral
planktonrules,WALL·E,2008,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,Kill Bill: Vol. 1,2003,10.0,14454,Kill Bill: Vol. 1,2003.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,Terminator 2: Judgment Day,1991,9.0,,,,unmatched,0.6037735849056604,4.5,4,5,liked
planktonrules,American Beauty,1999,8.0,571,American Beauty,1999.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,American History X,1998,9.0,11152,American History X,1998.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,The Lion King,1994,8.0,,,,unmatched,0.5714285714285714,4.0,4,4,liked
planktonrules,Deadpool,2016,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,V for Vendetta,2005,9.0,,,,unmatched,0.5,4.5,4,5,liked
planktonrules,Catch Me If You Can,2002,7.0,8644,Catch Me If You Can,2002.0,exact_title_year,1.0,3.5,3,4,neutral
planktonrules,The Usual Suspects,1995,8.0,6974,The Usual Suspects,1995.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Up,2009,10.0,,,,unmatched,0.0,5.0,5,5,liked
planktonrules,The Shining,1980,9.0,12034,The Shining,1980.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,Iron Man,2008,9.0,,,,unmatched,0.0,4.5,4,5,liked
planktonrules,Good Will Hunting,1997,5.0,8904,Good Will Hunting,1997.0,exact_title_year,1.0,2.5,2,3,neutral
planktonrules,Star Wars: Episode VI - Return of the Jedi,1983,8.0,9628,Star Wars: Episode VI: Return of the Jedi,1983.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Finding Nemo,2003,8.0,,,,unmatched,0.6857142857142857,4.0,4,4,liked
planktonrules,Mad Max: Fury Road,2015,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,No Country for Old Men,2007,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Eternal Sunshine of the Spotless Mind,2004,8.0,1865,Eternal Sunshine of the Spotless Mind,2004.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Jurassic Park,1993,9.0,14312,Jurassic Park,1993.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,Toy Story,1995,9.0,13673,Toy Story,1995.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,Gone Girl,2014,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,Parasite,2019,6.0,,,,unmatched,0.0,3.0,3,3,neutral
planktonrules,Reservoir Dogs,1992,9.0,175,Reservoir Dogs,1992.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,Braveheart,1995,7.0,2782,Braveheart,1995.0,exact_title_year,1.0,3.5,3,4,neutral
planktonrules,Whiplash,2014,9.0,,,,unmatched,0.0,4.5,4,5,liked
planktonrules,One Flew Over the Cuckoo's Nest,1975,10.0,8327,One Flew Over the Cuckoo's Nest,1975.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,The Sixth Sense,1999,10.0,4306,The Sixth Sense,1999.0,exact_title_year,1.0,5.0,5,5,liked
planktonrules,Raiders of the Lost Ark,1981,9.0,10042,Raiders of the Lost Ark,1981.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,The Hunger Games,2012,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,"Monsters, Inc.",2001,9.0,,,,unmatched,0.8,4.5,4,5,liked
planktonrules,Alien,1979,10.0,,,,unmatched,0.5714285714285714,5.0,5,5,liked
planktonrules,Dune: Part One,2021,7.0,,,,unmatched,0.0,3.5,3,4,neutral
planktonrules,A Beautiful Mind,2001,8.0,1180,A Beautiful Mind,2001.0,exact_title_year,1.0,4.0,4,4,liked
planktonrules,Oppenheimer,2023,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Die Hard,1988,9.0,9960,Die Hard,1988.0,exact_title_year,1.0,4.5,4,5,liked
planktonrules,The Intouchables,2011,8.0,,,,unmatched,0.0,4.0,4,4,liked
planktonrules,Taxi Driver,1976,5.0,10774,Taxi Driver,1976.0,exact_title_year,1.0,2.5,2,3,neutral
planktonrules,Star Wars: Episode VII - The Force Awakens,2015,10.0,,,,unmatched,0.0,5.0,5,5,liked
planktonrules,Scarface,1983,3.0,13707,Scarface,1983.0,exact_title_year,1.0,1.5,1,2,disliked
